"site","RPL_THEMES","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
6075031000,0.5479,0.2175,0.8091,0.7761,0.6477
6075031100,0.3027,0.2411,0.1947,0.7439,0.4252
6075031201,0.7532,0.5681,0.6063,0.8847,0.8429
6075031202,0.5776,0.4885,0.2552,0.936,0.6755
6075031301,0.5375,0.5692,0.4105,0.8451,0.3765
6075031302,0.6062,0.4369,0.4963,0.9127,0.6676
6075031401,0.7669,0.5359,0.8474,0.8877,0.7554
6075031402,0.5287,0.3435,0.4864,0.8912,0.5994
6075032601,0.509,0.4138,0.35,0.7808,0.5884
6075032602,0.6059,0.4012,0.6629,0.7956,0.6513
6075032700,0.5455,0.4092,0.3432,0.7658,0.7046
6075032801,0.7284,0.5223,0.8001,0.8614,0.7081
6075032802,0.4879,0.3131,0.7003,0.807,0.4175
6075032901,0.482,0.1742,0.5311,0.8424,0.7259
6075032902,0.4106,0.2747,0.5155,0.83,0.3914
6075033001,0.406,0.3976,0.2553,0.8065,0.3975
6075033002,0.3351,0.1551,0.3588,0.7376,0.5282
6075033100,0.2829,0.1049,0.5656,0.7976,0.3098
6075033201,0.7402,0.7624,0.0609,0.807,0.9583
6075033203,0.6652,0.648,0.3408,0.7917,0.7006
6075033204,0.7877,0.7709,0.6422,0.8239,0.688
6075035101,0.5445,0.4466,0.555,0.7084,0.5249
6075035102,0.3727,0.1404,0.5061,0.8021,0.53
6075035201,0.5475,0.4702,0.6417,0.8114,0.3927
6075035202,0.691,0.4554,0.6786,0.7598,0.813
6075035300,0.4283,0.1922,0.492,0.7883,0.6057
6075035400,0.6032,0.4264,0.6558,0.7427,0.6349
6075040100,0.5065,0.3298,0.1936,0.7235,0.8346
6075040200,0.4407,0.1454,0.6142,0.7055,0.6718
6075042601,0.5197,0.3762,0.1969,0.725,0.8084
6075042602,0.2494,0.1221,0.2929,0.6753,0.4161
6075042700,0.7304,0.5625,0.5862,0.7754,0.8383
6075042800,0.0983,0.0162,0.6744,0.5968,0.0694
6075045100,0.3218,0.0751,0.1938,0.6309,0.8166
6075045201,0.364,0.1223,0.6792,0.7376,0.4449
6075045202,0.2462,0.3397,0.1461,0.6267,0.2364
6075047600,0.3096,0.1163,0.1608,0.7569,0.6939
6075047701,0.5106,0.5317,0.2636,0.7772,0.4933
6075047702,0.4563,0.2187,0.5211,0.7177,0.6474
6075047801,0.3669,0.1459,0.3137,0.7376,0.67
6075047802,0.6814,0.4283,0.7016,0.7209,0.818
6075047902,0.4269,0.3344,0.3773,0.7191,0.4898
6075047903,0.6586,0.4363,0.5228,0.7177,0.8524
6075047904,0.7126,0.3722,0.9274,0.5994,0.8089
6075060100,0.1447,0.0427,0.0992,0.611,0.4793
6075060400,0.6088,0.2926,0.5273,0.7749,0.8765
6075060502,0.9134,0.8617,0.9597,0.9478,0.6408
6075060701,0.468,0.2401,0.0409,0.8381,0.969
6075060702,0.643,0.4035,0.3092,0.6803,0.9464
6075060703,0.4297,0.2336,0.0324,0.7041,0.9722
6075061000,0.7005,0.4301,0.4548,0.8991,0.9165
6075061101,0.9666,0.8888,0.989,0.9686,0.7886
6075061102,0.9635,0.947,0.9354,0.9954,0.7927
6075061200,0.6991,0.3313,0.6948,0.9088,0.8964
6075061401,0.5244,0.5148,0.4707,0.6364,0.463
6075061402,0.0589,0.0217,0.0077,0.6528,0.5657
6075061501,0.1534,0.1206,0.0161,0.6864,0.633
6075061502,0.7765,0.5762,0.6532,0.4788,0.9568
6075061503,0.4602,0.3443,0.0344,0.7318,0.9331
6075061504,0.271,0.0817,0.0091,0.8044,0.9746
6075061505,0.0293,0.0128,0.0269,0.7917,0.1582
6075061506,0.0478,0.0682,0.0058,0.7432,0.3404
6075061507,0.3789,0.2208,0.0833,0.8413,0.7782
6075061508,0.4731,0.1261,0.1343,0.7129,0.9807
6075980200,NA,NA,NA,0.7587,NA
6075980300,0.0144,0.0692,0,0.5416,0.3089
6075980501,NA,NA,0.799,0.9954,0.697
6075980600,0.538,0.3666,0.5265,0.9066,0.5561
6075980900,0.5685,0.6372,0.0975,0.8798,0.6477
